Subject,Single Accuracy,All Accuracy,Pooled Accuracy,Delta (Pool vs Single),Delta (Pool vs All)
1,80.80 ± 3.77,75.80 ± 4.15,82.40 ± 1.82,+1.60,+6.60
2,84.80 ± 1.64,78.20 ± 2.17,87.20 ± 1.92,+2.40,+9.00
3,49.00 ± 5.87,78.20 ± 2.17,61.40 ± 2.70,+12.40,-16.80
4,23.00 ± 1.41,77.20 ± 2.68,23.20 ± 3.49,+0.20,-54.00
5,22.20 ± 1.79,76.20 ± 4.97,39.60 ± 5.90,+17.40,-36.60
6,73.20 ± 4.76,76.20 ± 4.97,77.80 ± 3.56,+4.60,+1.60
7,64.20 ± 3.63,76.20 ± 4.97,66.00 ± 4.47,+1.80,-10.20
8,21.20 ± 3.03,74.40 ± 4.62,21.80 ± 4.60,+0.60,-52.60
9,81.60 ± 4.62,77.20 ± 2.68,74.40 ± 3.13,-7.20,-2.80
10,57.80 ± 3.70,75.80 ± 4.15,64.80 ± 3.35,+7.00,-11.00
11,92.00 ± 2.00,75.80 ± 4.15,92.00 ± 2.00,0.00,+16.20
