base_hp_config,subject,pool_type,run_id,pool_size,pool,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,1,single,10,1,1,0.7212993502616882,0.7766666666666666,1.0866694450378418,0.57,1.2317458987236023,0.62
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,1,single,11,1,1,0.4848088324069977,0.9283333333333332,1.0769490003585815,0.61,1.0296840071678162,0.61
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,1,single,12,1,1,0.0204346012324094,0.9966666666666668,1.0362482070922852,0.6,1.0288974940776825,0.58
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,1,single,13,1,1,0.1201241686940193,0.9816666666666668,1.0279154777526855,0.61,0.991184651851654,0.65
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,1,single,14,1,1,0.1524862349033355,0.9766666666666668,1.1293741464614868,0.6,0.9564515352249146,0.65
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,1,pooled,10,3,1_4_7,1.5756595134735107,0.6755555555555556,0.8192797899246216,0.69,0.730498194694519,0.76
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,1,pooled,11,3,1_4_7,0.5206237435340881,0.73,0.7522667646408081,0.72,0.7091756165027618,0.72
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,1,pooled,12,3,1_4_7,0.5047383904457092,0.6111111111111112,0.7074527144432068,0.81,0.5737194716930389,0.8
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,1,pooled,13,3,1_4_7,0.7572650909423828,0.8938888888888888,0.92108952999115,0.7,0.9100685715675354,0.71
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,1,pooled,14,3,1_4_7,0.4572031199932098,0.7122222222222222,0.7586508393287659,0.75,0.7456247806549072,0.72
